# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
16 0.3286 0 0
17 0.3498 0 0
18 0.371 0 0
19 0.3922 0 0
20 0.4134 0 0
21 0.4346 0 0
22 0.4558 0 0
23 0.477 0 0
24 0.4982 0 0
25 0.5194 0 0
26 0.5406 0 0
27 0.5618 0 0
28 0.583 0 0
29 0.6042 0 0
30 0.6254 0 0
31 0.6466 0 0
32 0.6678 0 0
33 0.689 0 0
34 0.7102 0 0
35 0.7314 0 0
36 0.7526 0 0
37 0.7738 0 0
38 0.795 0 0
39 0.8162 0 0
40 0.8374 0 0
41 0.8586 0 0
42 0.8798 0 0
43 0.901 0 0
44 0.9222 0 0
45 0.9434 0.211929 0.01
46 0.9646 0.810866 0.05
47 0.9858 0.776367 0.09
48 1.007 0.744023 0.13
49 1.0282 1.60573 0.22
50 1.0494 1.54151 0.31
51 1.0706 1.31651 0.39
52 1.0918 1.58235 0.49
53 1.113 2.1317 0.63
54 1.1342 2.19938 0.78
55 1.1554 2.11941 0.93
56 1.1766 1.36249 1.03
57 1.1978 1.84056 1.17
58 1.219 1.52323 1.29
59 1.2402 1.4716 1.41
60 1.2614 1.89673 1.57
61 1.2826 0.917273 1.65
62 1.3038 0.776726 1.72
63 1.325 1.3967 1.85
64 1.3462 1.76938 2.02
65 1.3674 1.00879 2.12
66 1.3886 0.880402 2.21
67 1.4098 1.23373 2.34
68 1.431 1.10534 2.46
69 1.4522 0.804976 2.55
70 1.4734 1.56396 2.73
71 1.4946 1.60434 2.92
72 1.5158 1.3135 3.08
73 1.537 0.958137 3.2
74 1.5582 1.55374 3.4
75 1.5794 0.604923 3.48
76 1.6006 0.883508 3.6
77 1.6218 1.0757 3.75
78 1.643 0.558998 3.83
79 1.6642 0.81727 3.95
80 1.6854 0.664033 4.05
81 1.7066 1.55433 4.29
82 1.7278 0.821395 4.42
83 1.749 0.924927 4.57
84 1.7702 0.722325 4.69
85 1.7914 0.94044 4.85
86 1.8126 1.0908 5.04
87 1.8338 1.12182 5.24
88 1.855 1.80893 5.57
89 1.8762 1.0181 5.76
90 1.8974 0.838299 5.92
91 1.9186 0.768633 6.07
92 1.9398 0.60154 6.19
93 1.961 0.735755 6.34
94 1.9822 0.864121 6.52
95 2.0034 1.03391 6.74
96 2.0246 0.828307 6.92
97 2.0458 1.30698 7.21
98 2.067 0.971268 7.43
99 2.0882 1.64375 7.81
