# Time-averaged data for fix 2
# TimeStep v_kinEnergy v_temperature
382000 3.3108 2.225
383000 3.14073 2.11071
384000 2.75515 1.85158
385000 2.81455 1.8915
386000 3.10847 2.08903
387000 3.16215 2.1251
388000 3.05323 2.05191
389000 2.93066 1.96953
390000 2.93125 1.96993
391000 3.10972 2.08986
392000 3.41004 2.2917
393000 2.97554 1.99969
394000 2.78811 1.87373
395000 2.94699 1.9805
396000 3.187 2.1418
397000 2.88667 1.93997
398000 2.53118 1.70107
399000 2.81042 1.88873
400000 3.09052 2.07696
401000 3.02309 2.03164
402000 2.87068 1.92922
403000 2.54836 1.71261
404000 2.82232 1.89672
405000 3.14569 2.11404
406000 3.0948 2.07984
407000 2.79818 1.8805
408000 2.88285 1.9374
409000 3.40466 2.28807
410000 3.26542 2.1945
411000 2.97858 2.00174
412000 2.88588 1.93944
413000 3.02864 2.03537
414000 3.15265 2.11872
415000 3.00914 2.02227
416000 2.81777 1.89366
417000 2.79198 1.87633
418000 3.24226 2.17894
419000 3.19378 2.14635
420000 2.95919 1.9887
421000 2.91822 1.96117
422000 2.98244 2.00433
423000 3.05957 2.05616
424000 2.97735 2.00091
425000 2.73673 1.8392
426000 2.81235 1.89002
427000 3.18614 2.14122
428000 3.13588 2.10744
429000 2.9004 1.94919
430000 2.87094 1.9294
431000 2.92388 1.96497
432000 2.99474 2.01259
433000 3.01338 2.02512
434000 2.94738 1.98077
435000 2.59482 1.74383
436000 2.84294 1.91058
437000 3.1889 2.14308
438000 3.06269 2.05826
439000 2.81975 1.89499
440000 2.94894 1.98181
441000 3.53729 2.37721
442000 3.29211 2.21244
443000 2.95801 1.98791
444000 2.86775 1.92725
445000 3.01475 2.02604
446000 3.21109 2.15799
447000 3.26715 2.19566
448000 2.80542 1.88536
449000 2.81319 1.89058
450000 3.02393 2.03221
451000 3.16961 2.13012
452000 3.02401 2.03226
453000 2.672 1.7957
454000 2.85629 1.91955
455000 3.14925 2.11643
456000 3.11922 2.09625
457000 2.84988 1.91524
458000 2.65972 1.78745
459000 2.9283 1.96794
460000 3.31408 2.22721
461000 2.97503 1.99935
462000 2.67868 1.80019
463000 3.0078 2.02137
464000 3.20254 2.15225
465000 3.05294 2.05171
466000 2.94582 1.97972
467000 2.97546 1.99964
468000 2.95003 1.98255
469000 3.13306 2.10555
470000 3.20401 2.15323
471000 2.86122 1.92286
472000 2.69583 1.81172
473000 3.0929 2.07856
474000 3.25195 2.18545
475000 3.04924 2.04922
476000 2.91161 1.95673
477000 2.98488 2.00597
478000 3.0621 2.05787
479000 3.0562 2.0539
480000 2.95773 1.98772
481000 2.75848 1.85381
482000 2.93896 1.97511
483000 3.29531 2.21459
484000 3.13401 2.10619
485000 2.80739 1.88669
486000 2.87717 1.93358
487000 3.0662 2.06062
488000 3.12115 2.09755
489000 2.72799 1.83333
490000 2.63303 1.76951
491000 3.00605 2.0202
492000 3.06441 2.05942
493000 2.98073 2.00318
494000 2.84989 1.91525
495000 2.93774 1.97429
496000 3.2499 2.18407
497000 3.2453 2.18098
498000 2.78603 1.87233
499000 2.81305 1.89049
500000 3.0492 2.0492
